Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
1330349;1000007021545727270;63806103215210;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.110, 0.076, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.068, 0.980);(-0.034, 0.000, 0.000);0.282;3.758;13.304;VALID;(-0.005, 0.085, 0.996);(0.034, 0.000, 0.000);0.288;3.784;13.131;0.3444431;0
1330350;1000007021550725608;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.109, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.068, 0.980);(-0.034, 0.000, 0.000);0.282;3.756;13.304;VALID;(-0.005, 0.085, 0.996);(0.034, 0.000, 0.000);0.288;3.783;13.131;0.3437617;0
1330351;1000007021555724402;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.108, 0.077, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.068, 0.980);(-0.034, 0.000, 0.000);0.282;3.753;13.304;VALID;(-0.005, 0.086, 0.996);(0.034, 0.000, 0.000);0.288;3.781;13.131;0.3437741;0
1330352;1000007021560726823;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.107, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.068, 0.980);(-0.034, 0.000, 0.000);0.282;3.752;13.304;VALID;(-0.006, 0.087, 0.996);(0.034, 0.000, 0.000);0.288;3.776;13.131;0.342939;0
1330353;1000007021565729371;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.108, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.068, 0.980);(-0.034, 0.000, 0.000);0.282;3.749;13.304;VALID;(-0.006, 0.086, 0.996);(0.034, 0.000, 0.000);0.287;3.775;13.131;0.3441953;0
1330354;1000007021570732045;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.108, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.068, 0.980);(-0.034, 0.000, 0.000);0.282;3.747;13.304;VALID;(-0.005, 0.087, 0.996);(0.034, 0.000, 0.000);0.287;3.773;13.131;0.3448866;0
1330355;1000007021575734845;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.107, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.187, 0.069, 0.980);(-0.034, 0.000, 0.000);0.281;3.744;13.304;VALID;(-0.005, 0.087, 0.996);(0.034, 0.000, 0.000);0.287;3.770;13.131;0.3452921;0
1330356;1000007021580737636;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.107, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.069, 0.980);(-0.034, 0.000, 0.000);0.281;3.742;13.304;VALID;(-0.005, 0.088, 0.996);(0.034, 0.000, 0.000);0.287;3.765;13.131;0.3440816;0
1330357;1000007021585740417;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.107, 0.079, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.069, 0.980);(-0.034, 0.000, 0.000);0.281;3.741;13.304;VALID;(-0.006, 0.088, 0.996);(0.034, 0.000, 0.000);0.286;3.761;13.131;0.3437823;0
1330358;1000007021590743189;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.106, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.068, 0.980);(-0.034, 0.000, 0.000);0.281;3.739;13.304;VALID;(-0.005, 0.088, 0.996);(0.034, 0.000, 0.000);0.286;3.760;13.131;0.3442469;0
1330359;1000007021595745951;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.106, 0.079, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.068, 0.980);(-0.034, 0.000, 0.000);0.281;3.735;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.286;3.754;13.131;0.3441439;0
1330360;1000007021600748703;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.105, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.187, 0.068, 0.980);(-0.034, 0.000, 0.000);0.280;3.731;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.286;3.753;13.131;0.3442488;0
1330361;1000007021605751337;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.105, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.068, 0.980);(-0.034, 0.000, 0.000);0.280;3.728;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.286;3.750;13.131;0.3434024;0
1330362;1000007021610753827;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.105, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.067, 0.980);(-0.034, 0.000, 0.000);0.280;3.725;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.286;3.750;13.131;0.3429287;0
1330363;1000007021615756173;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.105, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.067, 0.980);(-0.034, 0.000, 0.000);0.279;3.713;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.285;3.748;13.131;0.3424574;0
1330364;1000007021620758376;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.106, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.067, 0.980);(-0.034, 0.000, 0.000);0.279;3.707;13.304;VALID;(-0.005, 0.089, 0.996);(0.034, 0.000, 0.000);0.285;3.747;13.131;0.3422839;0
1330365;1000007021625760435;63806103215211;(-0.449, 0.119, -0.165);(0.005, -0.009, 0.030, 1.000);VALID;(0.106, 0.078, 0.991);(0.000, 0.000, 0.000);67.875;VALID;(0.188, 0.067, 0.980);(-0.034, 0.000, 0.000);0.278;3.705;13.304;VALID;(-0.005, 0.090, 0.996);(0.034, 0.000, 0.000);0.285;3.744;13.131;0.3415153;0
